"Enter a Complain (20-40 words)

ex: about Bad roads, sewage clogging, electricity pole etc",Department Name,,
The municipal corporation should prioritize the cleanliness of the water supply to protect the health of the community.,Water Department,,
The unclean water due to waste and pests needs to be addressed immediately to prevent any further health hazards for the community.,Water Department,Pest Control,
The construction of public toilets is affecting the quality of the water supply in the area.,Water Department,Public Toilets,
The unclean water due to the construction of public toilets needs to be addressed immediately to prevent any further health hazards for the community.,Water Department,Public Toilets,
The waste in the area is causing hindrances in the construction of public toilets.,Waste Management,Public Toilets,
"The municipal corporation is not effectively managing the waste in the area, leading to problems in the construction process of road and public toilets.",Road Department,Waste Management,Public Toilets
"Disposing used sanitary pads in the drains or roadsides from where animals can accidentally eat, require dustbins at roadsides.",Road Department,Waste Management,
"Squirrels have been causing damage to property, including electrical wires, and disturbing the peace by creating noise pollution.",Pest Control,Electricity Department,
"Patholes on the road are causing accidents , need to repair as soon as possible.",Road Department,,
Rain water chambers has been broken and creating dangerous situation,Road Department,,
Road cuts need to be filled ,Road Department,,
Rain and drain water are logged on the road and causing diseases,Road Department,,
Repairment of road breakers or construct new road breakers,Road Department,,
Cleaning of road construction waste materials being dumped on the roadside ,Road Department,,
"Public garden in my locality require quick repair and civil work, holes in the swings are becoming homes to mosquitoes",Urban Amenities,Pest Control,
"Respective sir, The roads in my locality are in really bad shape, as it contains many holes which is trapping rain water. It is leading to mosquitos breeeding in the locality",Road Department,Pest Control,
Sewage and drain construction materials blocking the road and overfilled drains leading to various diseases,Sewage,Road Department,
Public Toilets and Unirals of my area need to be clean and also require electricity connection ,Electricity Department,Public Toilets,
Utility lines are to be laid on the road to get road cutting permission ,Electricity Department,Water Department,Sewage
Installation and repairs of road sign boards,Electricity Department,Road Department,
"Road Dividers , foothpath and the drainage system in my locality need to be repaired as improper foothpaths collecting rain water and causing dengue",Road Department,Water Department,Sewage
"Road Accidents in my area has been increased due to improper zebra crossing, need to be paint and night alert light need to be installed on the road sides, traffic light is also not working.",Road Department,Electricity Department,
"Speed Breakers and not constructed properly , need urgent repairing and roadlights are not working hence leading to road accidents.",Road Department,Electricity Department,
Water Supply at public taps is not consistent in my area due to chocking of sewerage line.,Waste Management,Water Department,Road Department
The broken toilets are causing inconvenience to the community and impacting their daily lives.,Public Toilets,,
The broken toilets are creating health hazards for the community.,Public Toilets,,
The broken toilets are affecting the reputation of the municipality.,Public Toilets,,
The municipal corporation should prioritize the maintenance of public toilets to ensure they are in good working condition.,Public Toilets,,
The municipal corporation should regularly inspect the public toilets to identify and fix any issues.,Public Toilets,,
The municipal corporation should allocate sufficient resources for the maintenance and repair of public toilets.,Public Toilets,,
The municipal corporation should enforce penalties for those who intentionally damage the public toilets.,Public Toilets,,
"The community deserves access to clean and functional public toilets, and the municipal corporation should work towards fulfilling this basic need.",Public Toilets,,
The broken public toilets need to be fixed immediately to prevent any further health hazards and inconvenience to the community.,Public Toilets,,
Water logging on the footpaths and besides the electric pole causing short circuits in the poles and may cause fatal injury.,Road Department,Water Department,Electricity Department
The accumulation of waste and pest control issues are major contributors to the air pollution in the area.,Waste Management,Pest Control,
The municipal corporation should work towards a waste management system that minimizes the impact on air quality,Waste Management,,
The poor road conditions are causing rainwater to be trapped and creating stagnant pools in the area.,Road Department,Water Department,
The accumulation of waste is exacerbating the issue and contributing to water pollution.,Water Department,Waste Management,
"The stagnant pools of water are creating a breeding ground for pests, which is affecting the health and safety of the community.",Water Department,Pest Control,
The municipal corporation needs to take immediate action to address these issues and prevent the trapping of rainwater.,Water Department,,
The municipal corporation should work towards repairing and maintaining the roads to prevent water from being trapped.,Road Department,Water Department,
The municipal corporation should enforce penalties for those who contribute to the trapping of rainwater by littering and improper waste disposal.,Water Department,Waste Management,
The municipal corporation should invest in proper waste management systems to minimize the impact on water quality.,Water Department,Waste Management,
"The municipal corporation should take a holistic approach to improving water quality, addressing road maintenance, waste management..",Road Department,Water Department,Waste Management
The accumulation of waste in the sewers is causing blockages and leading to water pollution.,Sewage,Water Department,Waste Management
The clogged sewers are becoming a breeding ground for pests and affecting public health and safety.,Sewage,Pest Control,
The community is suffering due to the unpleasant smells and unsanitary conditions caused by the clogged sewers,Sewage,,
In my area there is  clogging of sewers and improper waste and dead animal  disposal.,Sewage,Waste Management,Biohazard
There are no proper waste management systems to minimize the impact on sewer lines in my area.,Sewage,Waste Management,
The increasing amount of household waste is becoming a major concern in our community.,Waste Management,,
"The household waste is not being properly disposed of, leading to unsanitary conditions and affecting public health and safety.",Waste Management,,
The increasing number of water leaks due to broken roads is becoming a major concern in our area.,Road Department,Water Department,
The water leaks are wasting a precious resource and leading to higher water bills for residents.,Water Department,,
The municipal corporation needs to prioritize road maintenance and repair to prevent further damage and water leaks.,Road Department,Water Department,
The water leaks are causing damage to the roads and making them unsafe for drivers and pedestrians.,Road Department,Water Department,
The municipal corporation needs to take immediate action to repair the roads and prevent further damage.,Road Department,,
The community is frustrated with the constant deterioration of roads and the impact on their daily lives.,Road Department,,
The municipal corporation should work with local residents and businesses to address the issue of water leaks and ensure the long-term sustainability of roads.,Road Department,Water Department,
"The water supply in my area has been disrupted for the past two days, and we are facing difficulties in meeting our daily needs.",Water Department,,
"There is a persistent electricity outage in our neighborhood, causing inconvenience and disruption to daily routines.",Electricity Department,,
"The water quality in our locality is poor, and we are concerned about its impact on our health.",Water Department,,
"The streetlights in our community are not functioning, posing a safety risk during the night.",Electricity Department,,
"The water pressure in our building is extremely low, making it difficult to carry out basic tasks like washing dishes and taking showers.",Water Department,,
"We have noticed a water leak on the main road, leading to wastage of precious water resources.",Water Department,,
"The electricity meter readings are consistently incorrect, resulting in overcharged bills.",Electricity Department,,
"The water drainage system in our area is blocked, leading to stagnant water on roads and potential health hazards.",Road Department,,
"We have been experiencing frequent power fluctuations, damaging our electronic appliances.",Electricity Department,,
"The water tank in our locality is not being refilled regularly, causing water scarcity for residents.",Water Department,,
The electricity cables in our neighborhood are exposed and pose a risk of electrocution.,Electricity Department,,
"The water pipes in our building are old and corroded, leading to frequent leaks and water damage.",Water Department,,
"There is a significant voltage drop in our area, impacting the functionality of electrical devices.",Electricity Department,,
"The water treatment plant in our locality is not functioning efficiently, resulting in inadequate water purification.",Water Department,,
"We are experiencing a complete water shutdown in our area without any prior notice, causing major inconvenience.",Water Department,,
"The streetlights near the park are not working, making it unsafe for residents to walk at night.",Electricity Department,,
"The water from our taps is discolored and has a foul odor, indicating a potential contamination issue.",Water Department,,
"We have been facing a prolonged power outage during extreme weather conditions, compromising our safety.",Water Department,,
The water supply timings in our neighborhood are irregular and do not align with our daily routines.,Water Department,,
"There is an electrical transformer near our building that is making constant buzzing sounds, raising safety concerns.",Electricity Department,,
"The water meters in our locality are not functioning properly, leading to inaccurate billing.",Water Department,,
"We have noticed an increase in power surges, damaging our sensitive electronic equipment.",Electricity Department,,
"The underground water pipes in our area are leaking, resulting in water wastage and increased bills.",Water Department,,
"The streetlights on our main road are frequently flickering, causing visibility issues for drivers.",Electricity Department,,
The electricity poles in our community are damaged and need immediate repair to avoid accidents.,Electricity Department,,
The water storage tanks in our building are contaminated and need to be cleaned and disinfected.,Water Department,,
"We are experiencing low voltage issues, leading to insufficient power for appliances and devices.",Electricity Department,,
"The water treatment plant near our area is emitting foul odors, indicating a potential health hazard.",Water Department,,
"The power lines in our vicinity are hanging dangerously low, posing a threat to pedestrians and vehicles.",Electricity Department,,
The water distribution network in our neighborhood is old and requires maintenance to prevent leakages.,Water Department,,
"We are facing frequent power outages during peak hours, affecting our productivity and daily activities.",Electricity Department,,
"The water supply in our area is inadequate, and we often receive limited water during certain times of the day.",Electricity Department,,
"The streetlights in our community have been broken for weeks, resulting in complete darkness at night.",Electricity Department,,
We have noticed an unusually high electricity bill despite using energy-efficient appliances.,Electricity Department,,
"The water pumps in our locality are not functioning optimally, causing insufficient water pressure in households.",Water Department,,
There is a persistent electrical fault in our building that has caused several appliances to malfunction.,Electricity Department,,
"There is a dead animal lying on the sidewalk near the park, and it needs immediate removal to prevent the spread of diseases.",Biohazard,,
"We have found a deceased animal in the river, and it poses a risk to the aquatic ecosystem and water quality.",Biohazard,,
"There is a dead animal in the garbage dump, attracting pests and causing an unsanitary environment.",Biohazard,,
"We have noticed several dead animals in the vicinity, and their decomposition is emitting foul odors and creating a health hazard.",Biohazard,,
"A dead animal is blocking the drainage system, leading to water stagnation and potential breeding grounds for mosquitoes.",Biohazard,,
"There is a deceased animal on the roadside, and it is obstructing traffic and causing a disturbance to commuters.",Biohazard,,
"We have come across multiple dead animals in the public park, negatively impacting the park's cleanliness and aesthetics.",Biohazard,,
"A dead animal has been left unattended near the playground, posing a danger to children and park visitors.",Biohazard,,
"We have discovered a dead animal in the neighborhood pond, and it needs immediate removal to maintain the pond's ecological balance.",Biohazard,,
"There is a deceased animal near the residential area, and it is attracting stray dogs and posing a threat to public safety.",Biohazard,,
"We have found a dead animal in the community garden, which requires prompt disposal to maintain a healthy gardening environment.",Biohazard,,
"A dead animal has been left on the beach, and it not only spoils the scenic beauty but also poses risks to marine life.",Biohazard,,
"There are multiple dead animals in the forested area, and their presence may attract scavengers and disrupt the ecosystem.",Biohazard,,
"We have observed a dead animal near the hiking trail, and it needs to be removed to ensure a safe and pleasant experience for hikers.",Biohazard,,
"There is a deceased animal in the parking lot, and it is causing inconvenience to vehicle owners and affecting parking availability.",Biohazard,,
"We have noticed dead animals in the vicinity of the school, and their presence may negatively impact the students' well-being and health.",Biohazard,,
"A dead animal has been found near the picnic area, making it unsuitable for recreational activities and picnics.",Biohazard,,
"There are deceased animals in the vicinity of the local market, creating an unhygienic environment and potential health risks.",Biohazard,,
"We have encountered a dead animal on the hiking trail, and it needs immediate removal to maintain the trail's cleanliness and safety.",Biohazard,,
"There is a deceased animal near the residential complex, and it is causing discomfort to the residents and affecting the neighborhood's ambiance.",Biohazard,,
"We have found a dead animal in the playground, and it needs to be swiftly removed to ensure the children's safety and well-being.",Biohazard,,
"A dead animal has been discovered near the community center, and its removal is essential to maintain a clean and healthy community space.",Biohazard,,
"There are deceased animals in the vicinity of the local market, and their presence may contaminate food items and pose health risks to shoppers.",Biohazard,,
"We have noticed a dead animal near the nursing home, and its removal is necessary to uphold a hygienic environment for the residents' well-being.",Biohazard,,
"There is a deceased animal in the public swimming pool area, and its presence hampers the pool's cleanliness and hygiene standards.",Biohazard,,
"We have come across dead animals near the hiking trail entrance, causing discomfort to hikers and discouraging their usage of the trail.",Biohazard,,
"A dead animal has been left unattended near the bus stop, affecting the overall cleanliness of the area and the commuters' experience.",Biohazard,,
"There are multiple deceased animals in the vicinity of the recreational park, compromising its attractiveness and posing health risks to visitors.",Biohazard,,
"We have found a dead animal near the senior citizen center, and its prompt removal is necessary to ensure a pleasant and safe environment for the elderly.",Biohazard,,
"There is a deceased animal in the vicinity of the local sports field, hindering its usability for athletes and causing concerns for their well-being.",Biohazard,,
"There is a hazardous waste dump near a residential area, posing a significant health risk to nearby residents.",Biohazard,,
The disposal of medical waste in public garbage bins is contaminating the surroundings and endangering public health.,Biohazard,,
"Biohazardous materials are being improperly handled and disposed of by local hospitals, raising concerns about public safety.",Biohazard,,
"A sewage leak has occurred, resulting in the release of hazardous waste into nearby water bodies.",Biohazard,,
"The storage and handling of chemicals at a local industrial plant are not up to safety standards, endangering both workers and the environment.",Biohazard,,
"There is a significant mold infestation in a government-owned building, which can cause respiratory problems and other health issues.",Biohazard,,
The improper disposal of construction debris containing asbestos is exposing residents to potential health hazards.,Biohazard,,
Abandoned and unsecured chemical containers are posing a risk of contamination and injury to the public.,Biohazard,,
"The local landfill site is not adequately managing biohazardous waste, leading to environmental pollution and health concerns.",Biohazard,,
"There is an accumulation of hazardous materials in a vacant lot, creating a breeding ground for disease-carrying pests.",Biohazard,,
The illegal dumping of toxic substances into nearby water sources is threatening aquatic life and public health.,Biohazard,,
"A local laboratory is not adhering to proper protocols for the safe handling and disposal of biological materials, risking the spread of diseases.",Biohazard,,
The improper storage and disposal of pesticide containers in agricultural areas are endangering farmworkers and nearby communities.,Biohazard,,
"Hazardous chemicals are being discharged into the air by an industrial facility, causing respiratory issues for residents in the surrounding areas.",Biohazard,,
"A biohazardous spill has occurred on a major road, necessitating immediate cleanup to prevent accidents and health risks.",Biohazard,,
The unregulated disposal of medical sharps in public spaces is putting sanitation workers and the public at risk of needlestick injuries.,Biohazard,,
"A malfunctioning sewage treatment plant is releasing untreated wastewater into a nearby river, contaminating the water supply.",Biohazard,,
Improper disposal of radioactive waste from a research facility is endangering the health of nearby residents and the environment.,Biohazard,,
"A local restaurant is not following proper hygiene practices, leading to the risk of foodborne illnesses.",Biohazard,,
The storage of hazardous materials in a densely populated area without proper safety measures is a potential disaster waiting to happen.,Biohazard,,
"An illegal waste incinerator is emitting toxic fumes, causing respiratory problems and pollution in the surrounding community.",Biohazard,,
The use of banned pesticides in agricultural practices is posing health risks to farmers and consumers.,Biohazard,,
"Improperly maintained sewage pipelines are leaking, leading to the spread of harmful pathogens and foul odors in residential areas.",Biohazard,,
"A biohazardous waste treatment facility is not meeting regulatory standards, jeopardizing the safety of workers and the environment.",Biohazard,,
The disposal of expired pharmaceuticals in regular trash bins is a significant concern for water contamination and public health.,Biohazard,,
Improper handling and storage of biohazardous materials in a laboratory are endangering the researchers and potentially releasing harmful substances.,Biohazard,,
"A local manufacturing plant is emitting toxic gases, causing respiratory distress and posing long-term health risks for nearby residents.",Biohazard,,
"The improper disposal of batteries and electronic waste is contaminating the soil and groundwater, posing environmental and health hazards.",Biohazard,,
The presence of hazardous materials in a derelict building is a safety concern for nearby residents and potential trespassers.,Biohazard,,
The illegal dumping of biohazardous waste in a nearby forest is threatening the local ecosystem and wildlife.,Biohazard,,
"A cat recently got electrocuted and died due to open wires near a wall in my area, this is a highly sensitive incident and might have caused loss of human life. Please fix the wires and send support for the disposal of body of the cat.",Electricity Department,Biohazard,
"Sewers are frequently clogged, causing backups in my home.",Sewage,,
The smell from the clogged sewers is overwhelming and unsanitary.,Sewage,,
The clogs in the sewers lead to water overflowing in the streets.,Sewage,,
The clogs in the sewers are causing damage to my property.,Sewage,,
The municipal corporation is not responding quickly enough to fix the clogged sewers.,Sewage,Pest Control,
The clogs in the sewers are attracting pests and rodents to the area.,Sewage,Pest Control,
The constant clogs in the sewers are causing health hazards.,Sewage,,
The municipal corporation is not providing enough resources to maintain the sewers.,Sewage,,
The clogs in the sewers are causing flooding in my basement.,Sewage,,
The municipal corporation is not properly educating residents on how to prevent sewer clogs.,Sewage,,
The clogs in the sewers are causing sewage to overflow into local bodies of water.,Sewage,,
The municipal corporation is not properly inspecting and maintaining the sewers.,Sewage,,
The clogs in the sewers are causing a decrease in property value in the area.,Sewage,,
The constant clogs in the sewers are causing a nuisance to the community.,Sewage,,
The municipal corporation is not properly enforcing regulations to prevent clogs in the sewers.,Sewage,,
The clogs in the sewers are causing a lack of sanitation in the area.,Sewage,,
The municipal corporation is not taking responsibility for the clogged sewers.,Sewage,,
The clogs in the sewers are causing a public health emergency.,Sewage,,
The municipal corporation is not providing adequate compensation for damages caused by clogged sewers.,Sewage,,
The clogs in the sewers are causing a strain on the city's infrastructure and budget.,Sewage,,
"The water supply is frequently interrupted, causing inconvenience.",Water Department,,
"The water pressure is low, making it difficult to use appliances and fixtures.",Water Department,,
"The water is often dirty and cloudy, causing health concerns.",Water Department,,
"The water bills are unexpectedly high, causing financial strain.",Water Department,,
The municipal corporation is not responding quickly enough to fix water-related issues.,Water Department,,
The water leaks in the pipes are causing damage to my property.,Water Department,,
The municipal corporation is not providing enough resources to maintain the water supply.,Water Department,,
"The water supply is not reaching certain areas of the city, causing a lack of access.",Water Department,,
The municipal corporation is not properly educating residents on how to conserve water.,Water Department,,
The water supply is not meeting the needs of the growing population.,Water Department,,
The municipal corporation is not properly inspecting and maintaining the water supply infrastructure.,Water Department,,
"The water supply is not safe to drink, causing health hazards.",Water Department,,
The municipal corporation is not properly enforcing regulations to ensure water quality.,Water Department,,
The water supply is not sufficient during times of drought or high demand.,Water Department,,
The municipal corporation is not taking responsibility for the water-related problems.,Water Department,,
"The water supply is not being used efficiently, causing a strain on resources.",Water Department,,
The municipal corporation is not providing adequate compensation for damages caused by water-related issues.,Water Department,,
The water supply infrastructure is outdated and in need of repair.,Water Department,,
"The water supply is not properly managed, leading to wastage.",Water Department,,
The water supply problems are causing a negative impact on the environment.,Water Department,,
"The garbage is not being collected regularly, causing a buildup of waste in the area.",Waste Management,,
The municipal corporation is not providing enough resources for waste management.,Waste Management,,
The garbage trucks are causing noise pollution during collection times.,Waste Management,,
"The garbage is not being properly sorted, leading to contamination and inefficiency.",Waste Management,,
The municipal corporation is not responding quickly enough to address waste management issues.,Waste Management,,
The waste disposal sites are causing a strong odor and unsanitary conditions.,Waste Management,,
The waste management system is not capable of handling the amount of waste produced by the population.,Waste Management,,
The municipal corporation is not properly educating residents on how to properly dispose of waste.,Waste Management,,
The waste management system is causing environmental pollution.,Waste Management,,
"The waste management system is not accessible for all residents, causing a lack of equal service.",Waste Management,,
The municipal corporation is not properly enforcing regulations to prevent littering and illegal dumping.,Waste Management,,
"The waste management system is not properly maintained, causing breakdowns and delays.",Waste Management,,
The waste management system is not utilizing the latest technology and methods for efficient waste management.,Waste Management,,
"The waste management system is not properly managed, causing a strain on the budget.",Waste Management,,
The municipal corporation is not taking responsibility for the waste management problems.,Waste Management,,
The waste management system is causing health hazards for the community.,Waste Management,,
The municipal corporation is not providing adequate compensation for damages caused by waste management issues.,Waste Management,,
The waste management system is not recycling enough of the waste produced.,Waste Management,,
"The waste management system is not properly handling hazardous materials, causing potential dangers.",Waste Management,,
"The waste management system is not properly planned for the long-term, causing a lack of sustainability.",Pest Control,,
Pest infestations are becoming a frequent problem in the area.,Pest Control,,
The municipal corporation is not providing enough resources for pest control.,Pest Control,,
Pest control methods used by the municipal corporation are not effective.,Pest Control,,
The municipal corporation is not responding quickly enough to address pest control issues.,Pest Control,,
Pest infestations are causing damage to my property.,Pest Control,,
Pest infestations are causing health hazards for the community.,Pest Control,,
The municipal corporation is not properly educating residents on how to prevent pest infestations.,Pest Control,,
Pest infestations are causing a decrease in property value in the area.,Pest Control,,
Pest infestations are causing a nuisance to the community.,Pest Control,,
The municipal corporation is not properly enforcing regulations to prevent pest infestations.,Pest Control,,
Pest infestations are causing a lack of sanitation in the area.,Pest Control,,
The municipal corporation is not taking responsibility for the pest control problems.,Pest Control,,
Pest infestations are causing a public health emergency.,Pest Control,,
The municipal corporation is not providing adequate compensation for damages caused by pest infestations.,Pest Control,,
Pest control methods used by the municipal corporation are causing harm to the environment.,Pest Control,,
The municipal corporation is not utilizing the latest technology and methods for efficient pest control.,Pest Control,,
Pest infestations are causing a strain on the city's infrastructure and budget.,Pest Control,,
The municipal corporation is not providing regular pest control services.,Pest Control,,
The municipal corporation is not addressing the root cause of pest infestations.,Pest Control,,
Pest infestations are affecting the quality of life for residents in the area.,Pest Control,,
The municipal corporation is not removing dead animals in a timely manner.,Biohazard,,
The municipal corporation is not providing enough resources for the disposal of dead animals.,Biohazard,,
The disposal methods used by the municipal corporation are not effective or sanitary.,Waste Management,,
The municipal corporation is not responding quickly enough to remove dead animals.,Biohazard,,
Dead animals are causing a strong odor and unsanitary conditions in the area.,Biohazard,,
Dead animals are causing health hazards for the community.,Biohazard,,
The municipal corporation is not properly educating residents on how to report dead animal sightings.,Biohazard,,
Dead animal disposal is causing a decrease in property value in the area.,Biohazard,,
Dead animals are causing a nuisance to the community.,Biohazard,,
The municipal corporation is not properly enforcing regulations to prevent the accumulation of dead animals.,Biohazard,,
Dead animals are causing a lack of sanitation in the area.,Biohazard,,
The municipal corporation is not taking responsibility for the dead animal disposal problems.,Biohazard,,
Dead animals are causing public health emergency.,Biohazard,,
The municipal corporation is not providing adequate compensation for damages caused by dead animal disposal issues.,Biohazard,,
The methods used for the disposal of dead animals are causing harm to the environment.,Biohazard,,
The municipal corporation is not utilizing the latest technology and methods for efficient disposal of dead animals,Biohazard,,
Dead animal disposal is causing a strain on the city's infrastructure and budget.,Biohazard,,
The municipal corporation is not providing regular dead animal disposal services.,Biohazard,,
The municipal corporation is not addressing the root cause of dead animal accumulation.,Biohazard,,
Dead animal disposal is affecting the quality of life for residents in the area.,Biohazard,,
The area is in dire need of more parks and gardens for the community to enjoy.,Urban Amenities,,
The municipal corporation is not providing enough resources for the construction of urban amenities like parks and gardens.,Urban Amenities,,
There are not enough public spaces for residents to gather and relax.,Urban Amenities,,
The municipal corporation is not responding quickly enough to requests for the construction of parks and gardens.,Urban Amenities,,
The lack of parks and gardens is causing a negative impact on the health and well-being of residents.,Urban Amenities,,
The municipal corporation is not properly educating residents on the benefits of urban amenities like parks and gardens.,Urban Amenities,,
The lack of parks and gardens is causing a decrease in property value in the area.,Urban Amenities,,
The area is in need of more green spaces for the community to enjoy.,Urban Amenities,,
The municipal corporation is not properly enforcing regulations to ensure the construction of parks and gardens.,Urban Amenities,,
The dead animals in my localoty is causing a rise of pests.,Biohazard,Pest Control,
The municipal corporation is not taking responsibility for the lack of urban amenities in the area.,Urban Amenities,,
The lack of parks and gardens is causing a public health emergency.,Urban Amenities,,
The municipal corporation is not providing adequate compensation for the lack of urban amenities in the area.,Urban Amenities,,
The area is in need of more nature-based amenities to promote community well-being,Urban Amenities,,
"The area is in need of more recreational spaces for children, youth and adults",Urban Amenities,,
The municipal corporation should utilize the latest technology and methods for efficient construction of urban amenities like parks and gardens,Urban Amenities,,
The lack of urban amenities like parks and gardens is causing a strain on the city's infrastructure and budget.,Urban Amenities,,
The municipal corporation should provide regular maintenance of urban amenities like parks and gardens.,Urban Amenities,,
The municipal corporation should address the need for urban amenities in certain areas.,Urban Amenities,,
The municipal corporation should construct urban amenities like parks and gardens to improve the quality of life for residents in the area.,Urban Amenities,,
The area is in dire need of more public toilets for the community to use.,Urban Amenities,,
The municipal corporation is not providing enough resources for the construction of public toilets.,Public Toilets,,
There are not enough public toilets for residents to use.,Public Toilets,,
The municipal corporation is not responding quickly enough to requests for the construction of public toilets.,Public Toilets,,
The lack of public toilets is causing a negative impact on the health and well-being of residents.,Public Toilets,,
The municipal corporation is not properly educating residents on the benefits of public toilets.,Public Toilets,,
The lack of public toilets is causing a decrease in property value in the area.,Public Toilets,,
The area is in need of more public toilets for the community to use.,Public Toilets,,
The municipal corporation is not properly enforcing regulations to ensure the construction of public toilets.,Public Toilets,,
The lack of public toilets is causing a lack of sanitation in the area.,Public Toilets,,
The municipal corporation is not taking responsibility for the lack of public toilets in the area.,Public Toilets,,
The lack of public toilets is causing a public health emergency.,Public Toilets,,
The municipal corporation is not providing adequate compensation for the lack of public toilets in the area.,Public Toilets,,
The area is in need of more public toilets to promote community hygiene,Public Toilets,,
The area is in need of more public toilets for the visitors and tourists,Public Toilets,,
The municipal corporation should utilize the latest technology and methods for efficient construction of public toilets,Public Toilets,,
The lack of public toilets is causing a strain on the city's infrastructure and budget.,Public Toilets,,
The municipal corporation should provide regular maintenance of public toilets.,Public Toilets,,
The municipal corporation should address the need for public toilets in certain areas.,Public Toilets,,
The municipal corporation should construct public toilets to improve the quality of life for residents in the area.,Public Toilets,,
The municipal corporation should clean the sewers to improve the quality of life for residents in the area and prevent mosquito breeding.,Sewage,Pest Control,
The dirty sewers are causing mosquito breeding that leading to the spread of mosquito-borne diseases,Sewage,Pest Control,
The broken roads are causing an increase in water wastage and leading to higher water bills for residents,Road Department,Water Department,
The municipal corporation should prioritize repairing water supply pipes damaged by broken roads.,Road Department,Water Department,
The broken roads are causing a public health emergency due to lack of clean water.,Road Department,Water Department,
The municipal corporation is not responding quickly enough to complaints about broken water supply due to broken roads.,Water Department,Road Department,
The broken roads are causing a strain on the city's infrastructure and budget.,Road Department,,
"The broken roads in the area are causing damage to the electric supply infrastructure, leading to power outages and disruptions in service.",Road Department,Electricity Department,
The municipal corporation is not taking responsibility for the damage to electric supply infrastructure caused by broken roads.,Road Department,Electricity Department,
The broken roads are causing a negative impact on the electric supply for residents and businesses in the area.,Road Department,Electricity Department,
The municipal corporation is not providing enough resources for the repair of electric supply infrastructure damaged by broken roads.,Road Department,Electricity Department,
The broken roads are causing an increase in electric wastage and leading to higher bills for residents.,Road Department,Electricity Department,
The broken roads are causing a public health emergency due to lack of electricity.,Road Department,Electricity Department,
The broken roads are causing electric supply disruptions during crucial times such as during natural disasters.,Road Department,Electricity Department,
The broken roads are causing electric supply contamination due to damaged infrastructure.,Road Department,Electricity Department,
The municipal corporation is not responding quickly enough to complaints about broken electric supply due to broken roads.,Road Department,Electricity Department,
The municipal corporation should provide regular maintenance of electric supply infrastructure to prevent damage from broken roads.,Road Department,Electricity Department,
The municipal corporation should prioritize repairing electric supply infrastructure damaged by broken roads.,Road Department,Electricity Department,
"The broken roads are causing electric supply infrastructure corrosion, leading to expensive repairs and replacements.",Road Department,Electricity Department,
The municipal corporation should construct electric supply infrastructure in a way that protects them from damage caused by broken roads.,Road Department,Electricity Department,
"The roads are riddled with potholes, causing damage to vehicles.",Road Department,,
Uneven surfaces on the roads pose a safety risk for drivers and pedestrians.,Road Department,,
Lack of proper road markings and signage is causing confusion and accidents.,Road Department,,
"Insufficient street lighting on the roads, making it dangerous to travel at night.",Road Department,,
Road construction work is causing traffic congestion and delays.,Road Department,,
The absence of pedestrian crossings on busy roads is endangering pedestrians.,Road Department,,
Lack of proper maintenance has resulted in deteriorating road conditions.,Road Department,,
Insufficient road signs and markings are causing confusion for drivers.,Road Department,,
Unresolved road construction projects are causing prolonged traffic congestion.,Road Department,,
Poor drainage systems are leading to frequent waterlogging on roads.,Road Department,,
The absence of speed breakers is leading to reckless driving and accidents.,Road Department,,
Uneven road surfaces are causing discomfort and damage to vehicles.,Road Department,,
Lack of proper road maintenance is resulting in potholes and cracks.,Road Department,,
Insufficient street lighting is posing a safety risk during nighttime travel.,Road Department,,
Inadequate road signage is causing confusion and wrong turns for motorists.,Road Department,,
Narrow roads are causing traffic congestion and delays during peak hours.,Road Department,,
Lack of pedestrian crossings is endangering the safety of pedestrians.,Road Department,,
Absence of dedicated bicycle lanes is discouraging cycling as a mode of transport.,Road Department,,
Overgrown trees and bushes are obstructing road visibility and pathways.,Road Department,,
Inefficient road drainage is leading to frequent waterlogging and flooding.,Road Department,,
Inadequate road width is hampering smooth traffic flow and causing bottlenecks.,Road Department,,
Absence of speed limit indicators is contributing to overspeeding on roads.,Road Department,,
Lack of proper road dividers is increasing the risk of head-on collisions.,Road Department,,
Unaddressed road repairs are causing prolonged inconvenience to commuters.,Road Department,,
Insufficient parking spaces are resulting in haphazard parking and traffic congestion.,Road Department,,
Absence of ramps and accessibility features is creating difficulties for people with disabilities.,Road Department,,
Uncontrolled encroachments are narrowing roads and reducing their capacity.,Road Department,,
Inadequate road cleaning is leaving debris and garbage on the streets.,Road Department,,
Lack of proper road markings is causing confusion at intersections and roundabouts.,Road Department,,
Unauthorized roadblocks and barriers are disrupting traffic flow without valid reasons.,Road Department,,
Poorly designed road intersections are leading to frequent accidents.,Road Department,,
Inadequate road barriers and guardrails are compromising road safety.,Road Department,,
Unregulated roadside vendor activities are obstructing the smooth movement of vehicles.,Road Department,,
Insufficient bus stops and shelters are causing inconvenience to public transport users.,Road Department,,
Unmarked pedestrian walkways are endangering the safety of walkers.,Road Department,,
Lack of synchronized traffic signals is causing traffic jams and delays.,Road Department,,
Unauthorized billboard installations are distracting drivers and impacting road safety.,Road Department,,
Absence of road reflectors is reducing visibility during low-light conditions.,Road Department,,
Inadequate road repairs are resulting in recurring potholes and road damage.,Road Department,,
Overloaded trucks and vehicles are causing excessive wear and tear on roads.,Road Department,,
Lack of proper road surveillance is leading to increased instances of traffic violations.,Road Department,,
Absence of proper road planning is resulting in inadequate infrastructure for growing traffic demands.,Road Department,,
